CampaignID,Platform,AdType,AgeGroup,Budget,DurationDays,Impressions,Clicks,Conversions,Cost,Revenue,CTR,CPC,ROI
33,TikTok,Carousel,18-24,1492,24,71616,4573,717,1542,34479.68,0.06385444593386953,0.3371965886726438,21.360365783740622
34,Google,Image,35-44,455,23,13195,1067,225,584,13913.02,0.08086396362258431,0.5473289597000938,22.823672875322806
35,Google,Video,18-24,2240,15,80640,2845,672,2365,42325.84,0.035280257936507936,0.8312829525483304,16.89676058975676
36,Facebook,Carousel,18-24,4487,27,94227,6670,720,4678,37778.5,0.07078650492958494,0.7013493253373313,7.075779516735399
37,TikTok,Image,18-24,293,11,7325,373,56,361,1213.81,0.05092150170648464,0.967828418230563,2.3623444706925283
38,Facebook,Video,25-34,4635,25,356895,29544,3465,4643,228064.36,0.08278064977094103,0.15715542919036013,48.12004207593165
39,Facebook,Carousel,45-60,4157,19,99768,2547,253,4158,15283.17,0.025529227808515756,1.6325088339222615,2.6756064734366736
40,Instagram,Carousel,35-44,610,18,28670,2087,513,771,8223.14,0.07279386117893268,0.36942980354575944,9.665545468645776
41,Instagram,Image,35-44,4187,17,251220,7631,2116,4374,89859.51,0.030375766260648036,0.5731883108373739,19.544012627061868
42,Instagram,Image,25-34,2775,19,66600,2707,385,2963,8538.69,0.04064564564564564,1.0945696342814923,1.8817721623734749
43,Google,Image,45-60,643,21,23791,810,192,801,6455.69,0.03404648816779454,0.9888888888888889,7.059539943049115
44,TikTok,Video,35-44,1876,14,84420,2542,697,1885,7852.18,0.030111348021795784,0.7415420928402833,3.1656108693450355
45,TikTok,Image,18-24,3279,27,127881,12894,3372,3392,128213.86,0.1008281136368968,0.2630680936869862,36.798898036460905
46,TikTok,Carousel,35-44,3337,18,200220,8294,793,3412,38453.67,0.04142443312356408,0.4113817217265493,10.270125408376684
47,TikTok,Carousel,18-24,4123,28,280364,31396,9075,4286,484339.84,0.11198299353697336,0.1365142056312906,112.00509614871837
48,Instagram,Image,25-34,183,19,8418,982,141,267,7958.65,0.11665478736041815,0.27189409368635437,28.80767680307254
49,Google,Image,18-24,3188,15,216784,15790,2128,3236,145853.95,0.07283747878072182,0.20493983533882204,44.07229728051374
50,Google,Carousel,35-44,3969,15,123039,3165,207,4038,5192.06,0.02572355106917319,1.275829383886256,0.28579928836684704
51,Instagram,Video,35-44,122,4,3172,162,27,298,497.71,0.0510718789407314,1.8395061728395061,0.6701699476802161
52,Google,Image,35-44,4544,7,354432,34645,2676,4674,186269.94,0.09774794600938967,0.1349112426035503,38.852362652956664
53,Instagram,Image,25-34,4275,13,94050,4741,531,4407,11131.3,0.050409356725146195,0.9295507276945792,1.5258221759836164
54,TikTok,Carousel,25-34,3028,3,87812,1718,222,3216,17367.77,0.019564524210814012,1.8719441210710128,4.4004265124267645
55,Instagram,Image,45-60,4411,16,233783,16656,4200,4500,289706.24,0.07124555677701117,0.27017291066282423,63.37916432071094
56,TikTok,Video,35-44,2035,9,89540,9219,2478,2060,111662.06,0.10295957114138932,0.22345156741512096,53.20488158136401
57,TikTok,Carousel,18-24,842,8,45468,4435,557,913,43835.62,0.09754112782616346,0.20586245772266065,47.01272875981354
58,Facebook,Image,25-34,4309,20,150815,4413,1168,4313,19641.52,0.02926101515101283,0.9773396782234308,3.5540276772247683
59,Instagram,Carousel,35-44,144,13,3024,254,67,158,2091.38,0.083994708994709,0.6220472440944882,12.236572277919159
60,Facebook,Image,35-44,1183,17,93457,3201,771,1305,42154.97,0.03425104593556395,0.4076850984067479,31.302660290989884
61,Instagram,Image,25-34,4967,17,213581,7262,629,5110,21700.8,0.034001151787846295,0.7036629027816028,3.2467323715996206
62,Instagram,Image,45-60,287,17,8323,883,196,287,14697.27,0.1060915535263727,0.3250283125707814,50.21000492395981
63,Facebook,Video,25-34,2996,1,170772,6397,1831,3139,26721.3,0.03745930246176188,0.49069876504611537,7.512677834262783
64,Facebook,Video,25-34,2580,8,105780,4120,909,2744,44049.07,0.03894876158063906,0.6660194174757281,15.052869852055094
65,Instagram,Carousel,18-24,2010,19,90450,911,121,2012,6214.64,0.010071862907683804,2.208562019758507,2.088785926857167
66,Google,Image,18-24,1098,6,68076,7200,1261,1277,70226.31,0.10576414595452142,0.1773611111111111,53.993196151774136
67,TikTok,Image,45-60,2579,3,190846,18547,3921,2625,109382.71,0.09718306907139788,0.14153232328678492,40.66960316871737
68,Facebook,Video,35-44,3014,27,174812,13811,2453,3108,87129.7,0.07900487380729011,0.22503801317790167,27.034009417450427
69,TikTok,Image,25-34,1013,5,46598,4311,344,1025,23755.83,0.09251470020172539,0.2377638598932962,22.1764167359343
70,Google,Video,45-60,586,13,28128,751,96,705,2270.02,0.026699374288964732,0.9387483355525965,2.219880010609183
71,Google,Image,18-24,4273,15,282018,17038,4269,4327,289782.92,0.060414583466303566,0.25396173259772276,65.9708617450464
72,Google,Carousel,25-34,3729,14,212553,10337,2742,3877,135416.08,0.048632576345664376,0.3750604624165619,33.928058259466695
73,Facebook,Image,35-44,4237,29,165243,3356,282,4302,17865.58,0.020309483608987974,1.2818831942789035,3.152854828212734
74,Google,Image,18-24,3774,23,173604,11019,3174,3955,190289.28,0.06347203981475082,0.3589254923314275,47.11359914953682
75,Facebook,Video,18-24,592,16,35520,3952,522,746,12802.47,0.11126126126126126,0.1887651821862348,16.16148799110386
76,Google,Image,18-24,895,18,65335,941,202,1060,10063.01,0.014402693808831407,1.126461211477152,8.493407635070719
77,TikTok,Image,45-60,3653,22,142467,5992,1425,3742,100805.38,0.04205886275418167,0.6244993324432577,25.938905529745583
78,TikTok,Video,35-44,3086,29,194418,6382,1614,3271,64960.49,0.032826178646010146,0.5125352554058289,18.85952076853622
79,Instagram,Carousel,25-34,2544,22,96672,3499,1002,2605,77816.68,0.036194554783184375,0.7444984281223207,28.872044769083853
80,TikTok,Carousel,45-60,4535,11,176865,19442,2493,4636,103846.06,0.10992564950668589,0.23845283407056886,21.399926039419935
81,Instagram,Video,45-60,2769,3,149526,9193,2432,2942,48627.83,0.06148094645747228,0.32002610682040683,15.528833034106285
82,TikTok,Video,45-60,1934,22,127644,7823,648,2072,24144.76,0.06128764375920529,0.26486002812220377,10.652875042627056
83,Facebook,Video,18-24,4188,10,87948,8237,1863,4387,142741.51,0.09365761586391959,0.5325968192303023,31.537385643353073
84,TikTok,Video,35-44,4399,10,215551,5818,1370,4406,44361.23,0.02699129208400796,0.757304915778618,9.068368009916483
85,Instagram,Video,45-60,3251,21,234072,14886,3266,3347,231124.6,0.0635958166717933,0.2248421335483004,68.05425793510842
86,Instagram,Carousel,25-34,2760,16,146280,8381,947,2876,67888.11,0.05729423024336888,0.3431571411526071,22.605044398015462
87,Google,Carousel,35-44,2003,12,82123,6213,1666,2201,57498.75,0.075654810467226,0.35425720263962657,25.123922066148705
88,Facebook,Video,25-34,4787,2,105314,12632,1164,4850,18423.83,0.1199460660500978,0.3839455351488284,2.798728655250619
89,TikTok,Image,35-44,3900,9,97500,9227,585,3920,35520.65,0.09463589743589744,0.4248401430584155,8.061389382666736
90,Google,Video,25-34,739,24,25126,1350,309,938,9828.01,0.05372920480776885,0.6948148148148148,9.477623696879016
91,TikTok,Image,18-24,2000,3,92000,9294,1569,2114,101678.5,0.10102173913043479,0.2274585754250054,47.09768238122477
92,TikTok,Video,45-60,506,24,14674,422,110,696,4508.44,0.028758348098677933,1.6492890995260663,5.477647028168584
93,Google,Video,25-34,2180,25,61040,814,118,2264,5188.3,0.013335517693315858,2.7813267813267815,1.2916533974161015
94,Google,Carousel,35-44,4026,15,209352,6801,626,4217,40347.99,0.03248595666628454,0.6200558741361565,8.567936970291886
95,Google,Image,45-60,4294,3,218994,10390,2692,4313,98972.55,0.04744422221613378,0.4151106833493744,21.94749503947442
96,Google,Image,45-60,1229,19,82343,5448,1020,1236,41839.29,0.06616227244574524,0.22687224669603523,32.85056023952758
97,Google,Carousel,35-44,4335,18,108375,8416,818,4392,29720.67,0.07765628604382929,0.5218631178707225,5.767000510416341
98,TikTok,Carousel,25-34,3615,8,216900,23895,5498,3660,196354.67,0.11016597510373444,0.15317011927181418,52.6488171337743
99,Google,Carousel,18-24,932,26,72696,4804,854,962,39981.09,0.06608341586882359,0.20024979184013322,40.560380839053266
100,Facebook,Carousel,18-24,449,17,24695,1608,323,541,21516.96,0.06511439562664507,0.3364427860696517,38.77256088756196
101,Instagram,Image,25-34,658,8,51324,796,131,666,4627.42,0.015509313381653808,0.8366834170854272,5.94807120169659
102,Google,Image,45-60,1688,7,133352,1845,474,1702,22134.77,0.013835563021177034,0.9224932249322493,12.00515371765106
103,Google,Video,45-60,2198,7,46158,3260,839,2291,47781.82,0.07062697690541185,0.7027607361963191,19.856314196090768
104,TikTok,Video,45-60,1432,3,68736,4000,909,1585,26234.43,0.05819366852886406,0.39625,15.551692093565658
105,Google,Carousel,45-60,1453,1,33419,3419,261,1590,7680.34,0.10230707082797211,0.4650482597250658,3.830403550670888
106,Google,Carousel,25-34,869,4,17380,480,124,897,9342.03,0.02761795166858458,1.86875,9.414744640539118
107,Google,Carousel,45-60,3342,25,126996,1618,352,3421,21347.89,0.01274055875775615,2.1143386897404204,5.240249016918452
108,TikTok,Video,35-44,869,5,39105,2322,520,904,26209.6,0.059378596087456846,0.38931955211024977,27.992914839080132
109,Google,Video,45-60,469,1,20636,745,104,552,5755.4,0.03610195774374879,0.7409395973154362,9.426452891634158
110,Instagram,Video,18-24,4269,15,123801,1913,516,4377,6218.3,0.015452217671908951,2.288029273392577,0.42067532211456965
111,TikTok,Video,45-60,4567,5,328824,29497,6823,4684,363442.16,0.089704522784225,0.15879580974336374,76.59226246411657
112,Instagram,Video,25-34,3352,13,113968,2538,198,3388,9041.79,0.02226940895690018,1.3349093774625689,1.6687700657873195
113,TikTok,Video,18-24,1558,8,121524,9347,1420,1643,68447.52,0.07691484809584938,0.1757783245961271,40.660084096211754
114,Google,Video,25-34,817,8,33497,1370,372,887,13079.4,0.04089918500164194,0.6474452554744525,13.745655524999409
115,Instagram,Carousel,25-34,2094,5,146580,4263,263,2244,4129.93,0.029083094555873927,0.5263898662913441,0.8404342499533245
116,TikTok,Carousel,18-24,2189,28,146663,7593,2204,2357,51868.38,0.05177174883917553,0.3104174897932306,21.006099686749007
117,Facebook,Carousel,25-34,3079,9,123160,12089,2657,3171,203399.01,0.09815686911334849,0.26230457440648525,63.143490763300164
118,Google,Carousel,25-34,1599,1,124722,6626,1377,1678,53164.55,0.053126152563300784,0.2532447932387564,30.68328415214263
119,TikTok,Video,45-60,1814,4,136050,12596,1481,1915,63191.04,0.09258360896729144,0.15203239123531279,31.997933558739266
120,Facebook,Image,35-44,2695,3,110495,2630,295,2850,4038.46,0.0238019819901353,1.0836501901140685,0.41700251244684744
121,TikTok,Video,25-34,3766,2,207130,19678,5618,3941,70953.3,0.0950031381258147,0.20027441813192398,17.003881103898962
122,Facebook,Image,25-34,4655,8,246715,8897,1108,4820,66704.59,0.036061852745070226,0.5417556479712262,12.839127185258613
123,Google,Carousel,25-34,4531,23,222019,18763,4575,4689,218074.82,0.08451078511298582,0.2499067313329425,45.507744974362524
124,Instagram,Video,45-60,2343,9,103092,7446,1104,2356,50352.8,0.07222674892329181,0.31641149610529146,20.372155543392655
125,Facebook,Carousel,35-44,4887,2,312768,35094,2976,5003,80407.7,0.11220457335788828,0.14255998176326437,15.071897297151777
126,TikTok,Video,18-24,2758,14,129626,6819,359,2830,22305.59,0.05260518723095675,0.41501686464290954,6.881832468501748
127,Google,Carousel,45-60,950,14,19000,328,61,1040,1328.37,0.01726315789473684,3.1707317073170733,0.27727903153198097
128,Facebook,Image,45-60,3134,4,213112,2580,758,3223,17657.94,0.012106310296933069,1.2492248062015503,4.4787271171745955
129,TikTok,Image,35-44,2059,6,131776,13303,1892,2087,79936.72,0.1009516148615833,0.15688190633691648,37.30221369111912
130,TikTok,Image,35-44,291,11,6693,453,63,469,1892.49,0.06768265351860152,1.0353200883002207,3.0351688526943694
131,TikTok,Video,45-60,2435,3,63310,6031,820,2483,22404.38,0.09526141209919443,0.4117061847123197,8.023107177922915
132,Facebook,Image,18-24,4318,8,293624,10507,1892,4488,104375.27,0.035783859630002995,0.42714380888931186,22.256522648093416
133,Facebook,Video,45-60,721,3,20188,968,155,792,8613.04,0.04794927679809788,0.8181818181818182,9.875054842956072
134,Facebook,Image,35-44,213,14,11715,155,41,345,2776.36,0.013230900554844216,2.225806451612903,7.047431856016801
135,Instagram,Image,18-24,514,28,19532,2261,398,555,15617.36,0.11575875486381323,0.24546660769570985,27.139388605165962
136,Facebook,Video,35-44,3092,13,61840,5161,913,3226,13800.87,0.08345730918499353,0.6250726603371439,3.278012451172121
137,Facebook,Video,18-24,4642,13,134618,15165,1282,4683,37378.82,0.1126520970449717,0.3088031651829871,6.981811100331328
138,Facebook,Image,25-34,4845,2,266475,10447,3089,5008,242796.58,0.03920442818275636,0.47937206853642195,47.481745468659696
139,Instagram,Video,35-44,2492,13,69776,5390,606,2596,31353.29,0.07724719101123595,0.4816326530612245,11.077538043671503
140,Facebook,Image,35-44,4848,29,310272,26259,1794,4874,107068.78,0.0846321936881188,0.1856125518869721,20.96733342415103
141,TikTok,Video,45-60,2405,19,156325,7023,1515,2462,15930.3,0.04492563569486646,0.3505624377046846,5.4704702809809955
142,Facebook,Carousel,35-44,4328,27,264008,27269,5422,4373,250899.8,0.10328853671100875,0.1603652499174887,56.374754994867125
143,TikTok,Carousel,35-44,4774,6,243474,27801,4275,4839,53980.45,0.11418467680327263,0.1740584871047804,10.155290507623908
144,TikTok,Carousel,25-34,2607,16,132957,14270,2219,2631,110608.53,0.10732793309114977,0.1843728100911002,41.040489868553635
145,TikTok,Carousel,35-44,595,2,14875,1358,334,667,24867.62,0.09129411764705882,0.49116347569955815,36.28279230058687
146,Instagram,Carousel,25-34,4769,8,319523,12947,1280,4885,99570.35,0.04051977478929529,0.37730748435931105,19.38287698932171
147,Instagram,Image,25-34,3885,17,221445,9074,2314,4039,110698.72,0.04097631466052519,0.4451179193299537,26.407457875587507
148,Instagram,Carousel,25-34,643,23,23148,2684,569,771,23940.3,0.1159495420770693,0.28725782414307005,30.050969381576863
149,Facebook,Carousel,25-34,4889,2,141781,1578,244,4975,18580.89,0.011129841092953216,3.152724968314322,2.734852657239051
150,TikTok,Carousel,18-24,3854,10,265926,23605,3883,3927,221923.89,0.08876529560855276,0.16636305867400975,55.51232198498134
151,Instagram,Carousel,45-60,1509,28,69414,6086,694,1678,10092.81,0.0876768375255712,0.27571475517581334,5.014783671022605
152,Instagram,Video,18-24,3543,16,258639,20302,4832,3722,205847.02,0.0784955091846164,0.18333169145896955,54.305486133867376
153,Facebook,Image,35-44,2651,6,182919,21751,3876,2803,103943.28,0.1189105560384651,0.12886763826950484,36.08286778798963
154,Instagram,Carousel,18-24,2494,28,134676,5967,776,2675,33279.77,0.04430633520449078,0.4482989777107424,11.441035791062573
155,Facebook,Carousel,18-24,2722,2,193262,9160,1822,2846,76310.08,0.04739679812896482,0.3106986899563319,25.813098753932316
156,Google,Carousel,35-44,4250,2,331500,6193,1851,4316,93938.5,0.018681749622926094,0.6969158727595672,20.765176575696508
157,Instagram,Image,35-44,66,26,2640,154,24,71,839.37,0.058333333333333334,0.461038961038961,10.822174982911859
158,Google,Video,35-44,3241,13,142604,5520,1546,3365,33237.35,0.038708591624358364,0.6096014492753623,8.87736940271041
159,Facebook,Image,18-24,442,24,20774,992,135,499,6110.15,0.04775199768941946,0.5030241935483871,11.244786887525223
160,TikTok,Video,18-24,474,15,31284,3184,202,543,13759.07,0.10177726633422836,0.17054020100502512,24.338984870440285
161,Instagram,Carousel,35-44,621,28,21114,2383,240,673,13555.41,0.11286350288907834,0.2824171212757029,19.141761413871794
162,Facebook,Carousel,45-60,3681,2,84663,2576,398,3746,13406.93,0.030426514534093996,1.454192546583851,2.57899859708396
163,TikTok,Image,45-60,1170,7,56160,2862,300,1227,22645.98,0.05096153846153846,0.42872117400419285,17.456384252596578
164,TikTok,Image,25-34,291,3,22698,2545,127,372,9379.53,0.11212441624812759,0.1461689587426326,24.21377771076675
165,Google,Video,35-44,3947,8,110516,1856,517,4033,12746.32,0.016793948387563793,2.1729525862068964,2.16050547327313
166,Facebook,Video,25-34,4145,23,190670,3843,1002,4146,12784.75,0.020155242041223057,1.0788446526151445,2.083634688939281
167,TikTok,Image,45-60,2329,14,104805,2924,688,2478,42581.43,0.027899432278994322,0.847469220246238,16.18378829466211
168,Instagram,Video,25-34,838,24,31844,2403,220,874,14945.2,0.07546162542394172,0.36371202663337493,16.09976890706746
169,Instagram,Image,35-44,764,23,57300,1521,121,911,9407.81,0.026544502617801048,0.598948060486522,9.326907654893501
170,Google,Video,35-44,4904,27,230488,26849,1796,5006,129830.23,0.11648762625386137,0.18645014711907335,24.93492438369605
171,TikTok,Image,35-44,2899,22,104364,6171,1425,2922,74153.34,0.05912958491433828,0.4735051045211473,24.37759860663582
172,Facebook,Image,18-24,825,29,51150,3333,940,936,44277.44,0.06516129032258064,0.2808280828082808,46.30496145317805
173,Instagram,Image,25-34,4076,7,309776,11502,1813,4140,21663.31,0.037130055265740404,0.3599374021909233,4.232683047278944
174,TikTok,Video,45-60,2297,21,137820,8518,679,2489,18513.58,0.06180525322884922,0.29220474289739373,6.438160272612411
175,TikTok,Video,45-60,128,7,7808,646,115,256,4849.9,0.08273565573770492,0.39628482972136225,17.944916997851788
176,Google,Video,45-60,3976,1,274344,25412,3486,4092,188227.52,0.09262823316711866,0.1610262867936408,44.99890559589253
177,Instagram,Image,18-24,905,17,35295,3279,471,1020,23082.59,0.09290267743306417,0.3110704483074108,21.62999308285098
178,Instagram,Video,18-24,2198,9,140672,10348,2124,2302,131655.12,0.07356119199272065,0.22245844607653653,56.19162421627878
179,Facebook,Video,35-44,1081,21,63779,6982,1603,1083,47422.65,0.10947176970476176,0.15511314809510168,42.78822466743754
180,Instagram,Image,45-60,4990,13,289420,28917,2245,5035,111232.3,0.09991362034413655,0.17411903032818066,21.091817734376598
181,Facebook,Carousel,18-24,3321,21,225828,21064,1240,3375,20050.75,0.09327452751651699,0.16022597797189517,4.940961992983928
182,Instagram,Image,35-44,3626,19,261072,4207,1256,3700,48929.47,0.016114328614328613,0.879486570002377,12.224181846874476
183,Google,Video,45-60,4232,21,177744,1911,206,4423,12877.32,0.010751417769376182,2.314495028780743,1.9114445424384687
184,Instagram,Image,25-34,3506,19,231396,7721,489,3550,28625.11,0.03336704178118896,0.4597850019427535,7.0634116092608945
185,Facebook,Carousel,35-44,3556,25,181356,15050,1466,3709,116319.76,0.08298595028562607,0.2464451827242525,30.361487648586955
186,Facebook,Image,18-24,457,25,32447,1792,107,533,3151.4,0.05522852652017136,0.2974330357142857,4.912578862379536
187,Google,Video,18-24,2761,22,182226,9888,1462,2953,65604.69,0.054262289684238255,0.29864482200647247,21.21628610818321
188,Instagram,Carousel,35-44,3138,17,163176,17509,4387,3161,145065.49,0.1073013188213953,0.1805357244845508,44.89227926790783
189,Instagram,Video,35-44,1718,23,130568,14168,1917,1752,78294.53,0.10851050793456284,0.12365894974590627,43.68865974634741
190,Google,Carousel,18-24,197,23,12805,1408,226,220,15816.95,0.10995704802811401,0.15625,70.89523206606236
191,Instagram,Carousel,25-34,4377,10,105048,4677,1023,4404,59226.21,0.044522503998172265,0.9416292495189224,12.44827699233595
192,Instagram,Image,45-60,3947,10,244714,21049,3730,3962,267705.4,0.08601469470483912,0.18822746923844363,66.56824711278486
193,Facebook,Image,25-34,2000,4,134000,5343,1417,2058,34356.27,0.039873134328358206,0.38517686692869174,15.694007208668522
194,Instagram,Video,35-44,415,8,21995,681,181,596,12875.49,0.030961582177767673,0.8751835535976505,20.60316336082386
195,Instagram,Image,25-34,1724,22,101716,3082,161,1867,2283.52,0.030300051122733887,0.6057754704737184,0.22309632029480048
196,Google,Image,18-24,4581,20,137430,6546,1600,4595,115523.12,0.04763152150185549,0.7019553926061717,24.141048837641147
197,Google,Carousel,35-44,4544,20,313536,17964,2967,4554,98015.33,0.05729485609308022,0.2535070140280561,20.522910245102896
198,TikTok,Image,45-60,2596,18,57112,5791,1721,2788,55108.37,0.10139725451743942,0.4814367121395269,18.76627410236463
199,Facebook,Carousel,18-24,612,14,47124,1092,186,690,8527.39,0.023172905525846704,0.6318681318681318,11.35854096900957
200,Instagram,Carousel,18-24,3612,18,187824,17062,5062,3726,383944.16,0.0908403611891984,0.21838002578830149,102.0445950396806
201,Instagram,Carousel,45-60,2539,28,76170,5214,1244,2606,16600.8,0.06845214651437574,0.4998082086689682,5.370223037780806
202,TikTok,Video,45-60,822,14,28770,1198,134,864,4643.93,0.04164059784497741,0.7212020033388982,4.374914983985637
203,Instagram,Video,25-34,2087,20,77219,4958,915,2155,64013.44,0.06420699568758984,0.4346510689794272,28.704610614926985
204,Facebook,Video,35-44,3473,21,170177,7316,2180,3613,82237.91,0.042990533385827694,0.49384909786768727,21.76166987452317
205,TikTok,Carousel,45-60,2617,24,175339,13250,3503,2754,83865.26,0.0755678998967714,0.2078490566037736,29.452165163317648
206,Facebook,Video,45-60,1623,15,120102,6932,515,1697,20463.83,0.05771760670097084,0.2448066935949221,11.05882748202557
207,TikTok,Video,35-44,3744,22,108576,3049,690,3846,25522.19,0.02808171234895373,1.261397179403083,5.636033755082588
208,TikTok,Image,45-60,3341,4,123617,2821,384,3381,28446.39,0.02282048585550531,1.1985111662531018,7.413601743692692
209,Google,Video,45-60,1296,13,73872,5181,268,1473,16973.89,0.0701348278102664,0.28430804863925885,10.523346156782416
210,Facebook,Video,25-34,3769,27,143222,15649,2360,3967,107045.09,0.10926393989750179,0.2534986261102946,25.98388954094022
211,Instagram,Carousel,18-24,3889,23,213895,10231,1111,3947,87975.58,0.04783188012810024,0.3857882904896882,21.28922700125072
212,Instagram,Carousel,18-24,409,8,31902,2891,736,447,31331.1,0.09062127766284246,0.1546177793151159,69.09194275466571
213,Facebook,Carousel,18-24,2426,18,77632,6400,859,2428,12091.84,0.08244023083264633,0.379375,3.980165060635564
214,Instagram,Carousel,18-24,3059,12,229425,25803,6628,3065,187964.79,0.11246812683883622,0.1187846374452583,60.326197177579246
215,Instagram,Carousel,45-60,3043,23,197795,19840,994,3091,40281.78,0.10030587224146212,0.15579637096774193,12.03195859387246
216,Facebook,Carousel,35-44,1012,14,22264,1610,204,1037,4280.57,0.07231404958677685,0.6440993788819875,3.1278394144711625
217,TikTok,Video,35-44,3682,2,106778,8784,968,3842,73887.01,0.08226413680720748,0.4373861566484517,18.231393274262665
218,Facebook,Carousel,25-34,1877,18,106989,11642,1261,1977,80299.75,0.10881492489882137,0.1698161827864628,39.61697127484817
219,TikTok,Carousel,25-34,1663,24,33260,1794,120,1838,3453.61,0.05393866506313891,1.024526198439242,0.8790057038048369
220,Instagram,Image,45-60,1690,2,125060,5746,556,1768,28554.11,0.04594594594594595,0.3076923076923077,15.150516088527874
221,Instagram,Video,35-44,2266,11,169950,1901,359,2267,21720.02,0.011185642836128273,1.1925302472382957,8.580951618069497
222,Instagram,Video,35-44,4362,9,200652,20249,2487,4488,188737.25,0.10091601379502821,0.22164057484320213,41.05375417410527
223,Google,Video,18-24,427,12,27755,2722,420,625,30120.08,0.0980724193838948,0.2296105804555474,47.19212682521131
224,TikTok,Carousel,45-60,4264,17,115128,2474,356,4423,16398.59,0.02148912514766173,1.7877930476960389,2.707571846114466
225,Google,Carousel,45-60,4335,15,303450,22289,5995,4466,385032.97,0.07345196902290328,0.20036789447709633,85.2142794214375
226,Google,Carousel,18-24,419,25,27235,1662,459,438,22651.71,0.06102441711033597,0.26353790613718414,50.71623502392764
227,Facebook,Image,45-60,2246,17,137006,3159,547,2362,26633.03,0.02305738434813074,0.7477049699271922,10.275627413142985
